,SPX Index,DJI Index,CCMP Index,NKY Index,SX5E Index,DAX Index,CAC Index,IBEX Index,UKX Index,SPTSX Index,ASX Index,NZSE Index,HSI Index,SHCOMP Index,SENSEX Index,IBOV Index,MEXBOL Index,JALSH Index,WIG Index,DXY Curncy,JPY Curncy,EUR Curncy,GBP Curncy,CAD Curncy,AUD Curncy,NZD Curncy,HKD Curncy,INR Curncy,BRL Curncy,MXN Curncy,ZAR Curncy,PLN Curncy,CO1 Comdty,NG1 Comdty,XAU Curncy,XAG Curncy,PL1 Comdty,HG1 Comdty,S 1 Comdty,W 1 Comdty,C 1 Comdty,CT1 Comdty,Index_ptfl,Curncy_ptfl,Comdty_ptfl
0,-1.8981125369398786,-1.7993557944370795,-2.5002506637595965,-2.383720656035072,-2.295316064960424,-2.367983227448574,-2.284118995747683,-2.3448797773505983,-1.8504705108290405,-1.6945138517458478,-1.733877587955823,-1.1919921100769921,-2.5586042476404796,-2.6546720209676393,-2.406151777807116,-3.2311124719985913,-2.268895934189327,-1.9305790477192455,-2.269952572506539,-0.8016562006849443,-1.0980703491342616,-0.9886187032703687,-0.9130566800382238,-0.8618496193629034,-1.2600857799178236,-1.278561457550786,-0.0506761145625868,-0.628583080640276,-1.657929347763491,-1.1534696707065026,-1.7138009743487796,-1.3292969663212482,-3.524099308926701,-5.722930250144139,-1.6919837184264008,-2.907092569271709,-2.3200013906606642,-2.7757859660349853,-2.5556705273662623,-3.2203860720881394,-2.885052582000722,-2.9658686104058747,-1.4055092450182682,-0.3557968270145386,-1.7279025958467535
1,-2.08148190088924,-1.8565313304885744,-2.6186481565964987,-2.361057560452019,-2.249238181532077,-2.3139027437118953,-2.1815934945092117,-2.3068218343006315,-1.8321517531635552,-1.711146657678679,-1.7165953546069712,-1.3372401147102886,-2.5130971462251344,-2.623447010421788,-2.4283965887251115,-2.960838380354777,-2.121569743032883,-1.9065689001514832,-2.2918898167269237,-0.8101400213724725,-1.0348294065622592,-0.9913552594453525,-0.8968918451872865,-0.8679582675915244,-1.2709150565808385,-1.2290695034445034,-0.050291400639848195,-0.6556694467724319,-1.726890029072301,-1.1337449542186275,-1.7362206515644958,-1.3248969609662193,-3.4908656177237973,-6.297293817908269,-1.661630306142417,-2.8682310656612766,-2.3078311789400447,-2.7359353902548373,-2.4799547548590257,-3.2098317914874506,-2.768067267385514,-3.1304464229053934,-1.402041914880548,-0.35015609568681394,-1.7104324323734197
2,-2.402353874756071,-2.04026854519398,-2.659745932268032,-2.3031035181614947,-2.223485037156599,-2.260023412161751,-2.2047305828081307,-2.282153600040336,-1.8178193292884106,-1.7137193588043464,-1.704306154061579,-1.1787904148949773,-2.466669927843509,-2.585625371253699,-2.3948830352125388,-2.698614446140508,-1.9658888667423535,-1.9029265912210729,-2.254291245847136,-0.8076932433443854,-1.0463031656133426,-0.9642917247089859,-0.8942225549957384,-0.8591087529242483,-1.2430607518801864,-1.0966920627691426,-0.04980069444974992,-0.6389421762186203,-1.605034656183029,-1.1161480461445497,-1.7213673145900357,-1.3099528126872637,-3.7914919200309245,-7.4617831952724725,-1.6590284578967773,-2.831686711684425,-2.299709165218552,-2.6864375094403043,-2.3555710525329348,-3.1760644473538546,-2.623202105599251,-2.980211981071961,-1.3965263859225368,-0.33317400916765977,-1.7655479955384967
3,-2.27206876280065,-2.002937445498466,-2.615468715082762,-2.9115533567198644,-2.1791930258139125,-2.2075856334894857,-2.105967330720728,-2.2409818214024115,-1.7995488655277798,-1.6970932103655079,-1.6871765838545154,-1.0198794940119154,-2.4180851620880937,-2.558241039615838,-2.3513284701847366,-2.4661378677049424,-1.819381727954636,-1.8793819140469477,-2.217309481465586,-0.7996152764004189,-0.9905461422801999,-0.9322430124732802,-0.8815170185175165,-0.8503348450562667,-1.217267818760512,-1.0708844639717074,-0.04946500654674324,-0.6224841017554168,-1.490807146432921,-1.0968723662445892,-1.7043738669098192,-1.2882734539530967,-3.7460807235538236,-7.09840302938051,-1.6277808706289998,-2.784916006036054,-2.287645402003053,-2.635580096561076,-2.23889515734294,-3.140881540101344,-2.4848204664780518,-2.7987230873188276,-1.3843687341093196,-0.3170892488125762,-1.747684365400353
4,-3.302881483965035,-2.51647250925467,-3.114424950835043,-2.857617356984386,-2.1360129393271534,-2.156555255522521,-2.012017859905062,-2.200741458486241,-1.7814620337929776,-1.6806309259684407,-1.6702191788272702,-0.8986880238854393,-2.370603876199976,-2.519612415873729,-2.3135259702568263,-2.309072463103163,-1.713160137769013,-1.8565132574816765,-2.180934404839796,-0.799488602842399,-1.071150236737003,-0.9122832173078118,-0.8721182560684494,-0.8422526139351282,-1.1992693853470946,-1.0673330431785024,-0.04968280427152559,-0.6074560783257658,-1.4728500700887628,-1.076389610506009,-1.6881023468694896,-1.2706560567432976,-4.209021420825586,-6.83661562464697,-1.5974142092325287,-2.7891385794225667,-2.2870444009021162,-2.626009845558099,-2.286787835972234,-3.1185499926749043,-2.4343977745817407,-2.732819985997364,-1.3856834868603318,-0.32589917231535753,-1.755497695506392
5,-3.143459614410809,-2.496081525439692,-3.0641453944632038,-3.133937088816151,-2.131632312000168,-2.2681154945673994,-1.9456810755915472,-2.2038492656033815,-1.798435173496653,-1.783542293209342,-1.6864617040638357,-1.0045248968065377,-2.333988569909982,-2.4868000849874905,-2.2753328636886523,-2.1397325387068027,-1.6082194754158479,-1.8475822926946746,-2.146524084763177,-0.8029387596121685,-1.0251859811911308,-0.9270312291296126,-0.8568182439507803,-0.8371918846063633,-1.183860799803252,-1.1169501486026945,-0.04938493386932214,-0.6078406374649786,-1.5472158247416534,-1.1026338370988633,-1.6755116946267476,-1.26092522212109,-4.294303260904926,-6.644589786359158,-1.5816512169763621,-2.769163974790244,-2.276601590499182,-2.617582506916532,-2.1754901618638445,-3.08413267199216,-2.3137035400505512,-2.7997977414055675,-1.3718021944276517,-0.31695593340334616,-1.7440606568508747
6,-2.965043694303191,-2.4523944268909066,-3.0126807347668096,-3.0569592013285596,-2.1597083346007104,-2.296586166619915,-2.0512895387630685,-2.2182088375195876,-1.8568310479874595,-1.7686223299973005,-1.7463480138634302,-0.8923837934632513,-2.288642045136575,-2.4514672153019044,-2.2452593141065793,-2.8390892114350867,-1.4961508884375339,-1.8641236219567339,-2.127647010507253,-0.7951250346396759,-1.0334099287293048,-0.8975223359604432,-0.8529589589759409,-0.8292517378608895,-1.161154800787504,-1.0894486049274672,-0.048750353395103224,-0.6257518917527769,-1.4383508555625506,-1.0821923202703452,-1.6615675283284317,-1.2397854659059357,-4.242479939254768,-7.775028961946982,-1.5566793776373886,-2.7404575614130104,-2.2688219085842647,-2.5731989958856465,-2.2315037608408455,-3.05035956171833,-2.198026551816847,-2.631749215529143,-1.3754078644158738,-0.30309487042553684,-1.739415947500769
7,-2.8302836026358884,-2.434398895729761,-2.9711204199965042,-2.9798824476486048,-2.1232469213941845,-2.243169661497512,-2.036191490793674,-2.1851177880046353,-1.838279182001307,-1.7589986230725827,-1.7287964019890598,-0.8453089975038544,-2.284022541172454,-2.4134201911062836,-2.2046238996941847,-2.5906006374534716,-1.4217475255637213,-1.8456721153190694,-2.092742851350959,-0.7890995694186874,-1.0167587081307328,-0.8726305882174327,-0.849131209897649,-0.8207578855451252,-1.1377476072462285,-1.0693552728938074,-0.04828465135589286,-0.615904732481777,-1.339939129686265,-1.0619317817900187,-1.65075113818287,-1.2304552822704844,-4.262340951304635,-9.12490846978187,-1.5279045950125236,-2.7037190589794933,-2.2609092237489166,-2.5894350322878066,-2.1230931001033317,-3.037676166308128,-2.0860507809272493,-2.4723716792817174,-1.3652230939601921,-0.28948122642938734,-1.7500908094643448
8,-2.671587620146255,-2.3896601131112853,-2.921235395936202,-2.904903278085918,-2.0814782059094354,-2.191183738019569,-1.9456545367260398,-2.146146926060461,-1.8198030811943995,-1.7419263344210236,-1.71142068620524,-0.7687360531200789,-2.239602421124219,-2.375988787314698,-2.170199015065719,-2.370572091053426,-1.3262003262375464,-1.8237797925772956,-2.058411296729342,-0.7815462639614429,-0.9621917446460007,-0.8454086612370115,-0.8345965525617673,-0.8124139048973528,-1.115579290023081,-1.0658160849770424,-0.047676189980329256,-0.623657651269226,-1.250523911410304,-1.041989067141467,-1.636012009391926,-1.2094130423472573,-4.210882299236382,-8.679395023069674,-1.4990485991151186,-2.659225277730539,-2.249048996403841,-2.540662278131364,-2.021906508811256,-3.004153893178358,-1.9796867647601981,-2.323132541984376,-1.3515163504908743,-0.2754448444319628,-1.7323835735197943
9,-2.5241539559208825,-2.345897835305203,-2.8756096646944393,-2.831968576154719,-2.0427294517013537,-2.141777215172859,-1.9094942059035447,-2.108390318065272,-1.8016361210585594,-1.725461463592418,-1.6946903087699563,-0.7132369358811339,-2.3654580555397815,-2.3629283523496354,-2.1516858368053677,-3.35671139144726,-1.5805667069866478,-1.9021265344876284,-2.0479973354934122,-0.7935708487690235,-1.005730700595757,-0.9319175230837947,-0.8858962686702908,-0.8089846426523261,-1.1386075844686014,-1.272193390139645,-0.04741837488966121,-0.7134180938249308,-1.700677791620523,-1.0285119675360088,-1.6231408254235062,-1.2339320373206275,-4.19267018454398,-8.261230422838677,-1.4715467071125687,-2.6154104287555717,-2.23827350461316,-2.4946696520393097,-2.061036236757334,-2.975008821777394,-1.8826562476434145,-2.4335649945646147,-1.338030974070124,-0.2971704968670483,-1.7173382164495163
10,-2.6939658178780856,-2.469073374107522,-2.971461494886942,-2.7610266469786344,-2.0464573613341113,-2.162854332191583,-2.003171780881556,-2.0734763306065083,-1.789299240148467,-1.7221885914930217,-1.6844123758795904,-1.033496315680445,-2.3206733041119745,-2.3263404293907683,-2.135886731130284,-3.081545254719768,-1.5101522070905162,-1.886481371421992,-2.090453494113434,-0.795127679030718,-1.1211398205714513,-0.9193873428228343,-0.8715058469913386,-0.8157674549117324,-1.1205420011965896,-1.186469051696558,-0.047165653039261755,-0.6950886622829804,-1.6223593664152964,-1.0124599224473987,-1.6280777016459156,-1.220584621721997,-4.169701192488296,-7.861249363978528,-1.4631680297182188,-2.606380099506448,-2.2286376475599594,-2.5302873107115396,-1.990453467274199,-2.958039461106144,-1.8720765479451174,-2.286816780777944,-1.3439754027269026,-0.2836207319776539,-1.7007942830906078
11,-3.079809931233477,-2.6363394341526094,-3.190465524505062,-2.818884716843055,-2.2252502455064227,-2.4264466445440918,-2.3445623420081683,-2.183846215283393,-1.8413868742014787,-1.7400806120362566,-1.736177574965666,-0.9145740101037398,-2.3840363769035116,-2.3669199611617384,-2.1028576545807747,-2.8142020678910287,-1.5415494217780226,-1.8768681108904153,-2.0931352194340946,-0.7877795543442372,-1.1334015907975044,-0.8889313592442608,-0.8893973921189708,-0.831059987948655,-1.206646713798192,-1.1733837738824702,-0.04784409658906732,-0.7148274244081186,-1.6331178316821267,-1.0367186931198973,-1.7005347518225045,-1.1992190622353425,-4.149864380380448,-7.654706458910772,-1.449433796913416,-2.5646119451989073,-2.292164266684974,-2.6566538112418248,-1.9736289376052973,-2.928815069113982,-1.8333925794664239,-2.5442221868311443,-1.39618128383806,-0.2930640627131577,-1.7531158755083958
